"Team Details","","","","","","","Man/Zone","","","","Middle of Field Look (Closed/Open)","","","","Coverages","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","MAN %","FP/DB","ZONE %","FP/DB","1-HI/MOF C %","FP/DB","2-HI/MOF O %","FP/DB","COVER 0 %","COVER 1 %","COVER 2 %","COVER 2 MAN %","COVER 3 %","COVER 4 %","COVER 6 %"
"1","Philadelphia Eagles","1","2023","Philadelphia","Eagles","58","25.9","0.46","74.1","0.42","70.7","0.53","29.3","0.21","0.0","25.9","3.4","0.0","44.8","3.4","22.4"
"2","Baltimore Ravens","1","2023","Baltimore","Ravens","53","28.3","0.16","66.0","0.23","39.6","0.15","60.4","0.24","7.5","20.8","5.7","0.0","15.1","20.8","24.5"
"3","San Francisco 49ers","1","2023","San Francisco","49ers","52","9.6","0.13","78.8","0.16","36.5","0.19","63.5","0.25","0.0","9.6","11.5","0.0","26.9","34.6","5.8"
"4","New York Jets","1","2023","New York","Jets","50","24.0","0.11","70.0","0.23","40.0","0.18","60.0","0.34","0.0","24.0","0.0","0.0","16.0","38.0","16.0"
"5","Green Bay Packers","1","2023","Green Bay","Packers","48","0.0","0.00","95.8","0.36","72.9","0.41","27.1","0.17","0.0","","4.2","0.0","72.9","8.3","10.4"
"6","Jacksonville Jaguars","1","2023","Jacksonville","Jaguars","47","23.4","0.16","76.6","0.33","57.4","0.23","42.6","0.37","4.3","19.1","14.9","0.0","38.3","23.4","0.0"
"7","Tampa Bay Buccaneers","1","2023","Tampa Bay","Buccaneers","47","8.5","0.83","87.2","0.40","51.1","0.39","48.9","0.47","2.1","4.3","14.9","2.1","46.8","25.5","0.0"
"8","Los Angeles Chargers","1","2023","Los Angeles","Chargers","46","34.8","0.97","58.7","0.40","47.8","0.48","52.2","0.82","8.7","13.0","2.2","10.9","28.3","10.9","17.4"
"9","Detroit Lions","1","2023","Detroit","Lions","45","22.2","0.62","73.3","0.31","33.3","0.27","66.7","0.55","0.0","20.0","22.2","0.0","13.3","37.8","0.0"
"10","Dallas Cowboys","1","2023","Dallas","Cowboys","44","43.2","0.23","56.8","0.10","75.0","0.22","25.0","-0.02","0.0","43.2","22.7","0.0","31.8","2.3","0.0"
